"last_name, first_name","player_id","year","player_age","pa","k_percent","bb_percent","batting_avg","on_base_percent","on_base_plus_slg","b_gnd_into_dp","xba","woba","xwoba","avg_swing_speed","exit_velocity_avg","sweet_spot_percent","barrel_batted_rate","solidcontact_percent","poorlyweak_percent","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent","hp_to_1b","sprint_speed"
"Wagaman, Eric",676572,2024,26,74,23,2.7,".250",".270","0.673","1",".267",".290",".302","71.1","91.7",38.2,5.5,12.7,1.8,40,"101.318351481","95.375562222",20.9,51.7,,"27.1"
"Slater, Austin",596103,2024,31,212,28.3,12.3,".209",".321","0.587","5",".232",".273",".303","71.9","88.2",37.2,3.3,6.6,7.4,37.2,"98.373260169","93.491320256",29.8,43,"4.39","28.2"
"Adames, Willy",642715,2024,28,688,25.1,10.8,".251",".331","0.793","12",".243",".342",".339","73.6","88.6",38.2,12,8.6,4.5,40.7,"99.769639045","94.108759136",29.5,49.5,"4.38","27.4"
"Aranda, Jonathan",666018,2024,26,143,22.4,8.4,".234",".308","0.738","2",".257",".320",".362","70.1","91.9",34,16.5,8.2,1,48.5,"101.531383265","95.365481959",21.9,45.4,"4.54","25.8"
"Palacios, Richie",680700,2024,27,316,21.2,14.2,".223",".346","0.664","5",".249",".303",".325","68.9","86.2",36.4,3.5,4.5,3.5,30.3,"96.843483131","92.444278274",24.7,46.7,"4.28","27.9"
"Arcia, Orlando",606115,2024,29,602,21.3,6.8,".218",".271","0.625","16",".206",".273",".261","70.9","88.2",29.9,5.3,6.5,3,37.8,"98.41985743","93.283896472",26.6,49.1,"4.73","25.6"
"Castellanos, Nick",592206,2024,32,659,21.1,6.2,".254",".311","0.742","14",".271",".321",".333","71.9","88.4",39,8.1,6.8,2.8,38.2,"99.266703034","93.738511581",30.1,58,"4.49","27.4"
"Alvarez, Eddy",657193,2024,34,11,18.2,9.1,".000",".182","0.182","0",".179",".128",".265","70.6","89.1",14.3,0,0,0,28.6,"95.575815","92.329037143",33.3,38.9,,"28.5"
"O'Hoppe, Logan",681351,2024,24,522,29.7,6.3,".244",".303","0.712","7",".251",".311",".331","70.7","90.4",42.9,12,7.1,3.1,46.3,"101.233350982","95.0870388",33.6,52,"4.46","28.1"
"Tellez, Rowdy",642133,2024,29,421,21.1,7.4,".243",".299","0.691","12",".237",".301",".302","74.4","89.4",32.4,8,5.7,1.7,36.5,"100.611958926","94.350585034",21.9,43.3,"4.85","24.2"
"Torrens, Luis",620443,2024,28,130,21.5,6.9,".229",".292","0.665","5",".259",".292",".318","71.4","89.6",36.3,6.6,7.7,1.1,46.2,"99.143395652","93.972417033",21.9,46.5,"4.61","26.6"
"Arenado, Nolan",571448,2024,33,635,14.5,6.9,".272",".325","0.719","15",".255",".314",".296","70.7","86.3",35.9,3.2,5.1,4.5,31.6,"96.924147927","92.483246402",17.2,46.8,"4.72","25.3"
"Jankowski, Travis",608671,2024,33,207,21.3,5.8,".200",".266","0.508","3",".207",".234",".241","67","85.4",25.3,0.7,2.7,4.1,24.7,"95.346098056","91.700885874",20.7,44.8,"4.23","28.5"
"Castro, Willi",650489,2024,27,635,23.6,8,".247",".331","0.716","8",".244",".317",".320","70.6","87.4",39,7,8,5.6,36.8,"98.851706502","93.501303852",29,51.4,"4.3","27.9"
"Guerrero Jr., Vladimir",665489,2024,25,697,13.8,10.3,".323",".396","0.940","16",".321",".398",".408","75.9","93.8",35.1,13.7,6.3,2.9,54.9,"105.663720766","97.649346073",21.5,48,"4.58","27.2"
"Happ, Ian",664023,2024,29,657,25.6,12.2,".243",".341","0.782","7",".243",".341",".345","72.4","90.8",37,11.7,7.7,3.5,45.2,"101.590666318","95.287992294",27.9,45.9,"4.34","27.9"
"Dunn, Blake",694362,2024,25,29,37.9,6.9,".154",".241","0.549","1",".150",".247",".234","71.6","85.7",26.7,6.7,0,0,13.3,"93.9705075","91.358022",37,45,,"29.3"
"Duffy, Matt",622110,2024,33,10,10,20,".286",".500","0.786","0",".415",".386",".482","67.8","98.8",33.3,0,0,0,66.7,"104.138526667","98.818976667",23.1,41.9,,
"Wade Jr., LaMonte",664774,2024,30,401,22.4,15.5,".260",".380","0.761","2",".259",".337",".354","72.4","90.6",39.6,9.4,9,4.5,44.1,"101.164898115","95.074393169",24.2,40.9,"4.75","25.2"
